X,Y,Z,id
-48162.77200817061,3350150.7917627767,3685,0
-50157.17665053206,3351825.986467187,3681,1
-51194.05902664109,3354386.865733435,3841,2
-53080.208693571396,3356174.0767481592,3948,3
-54299.89448975807,3358102.9386499096,4118,4
-55269.41504681739,3359960.9526846623,4102,5
-55873.041215407546,3362033.8682624595,4409,6
-56892.32229352056,3363894.70162133,4167,7
-56808.97910041676,3366516.191889601,4263,8
-56488.06455599773,3367841.8357556644,4045,9
-57378.421434701195,3371213.406073492,4628,10
-57910.62186292908,3373662.3160844846,4578,11
-59184.80902516945,3375449.271138312,4474,12
-60246.531216689844,3376933.714390677,4472,13
-59968.52557028296,3378888.845874719,4664,14
-60477.53475702564,3380782.5342435366,4619,15
-60271.283131714335,3382814.3237977745,4577,16
-59569.88487087703,3384645.4241766375,4651,17
-58682.05748009927,3386175.121430604,4592,18
-57118.8237269026,3387086.4763039723,4785,19
-55025.40950926044,3387503.951310345,5032,20
-53545.93530745139,3387778.176315801,5019,21
-52745.31600171037,3388612.4285436263,4980,22
-51432.014028369325,3389595.571127887,4974,23
-49262.46328338608,3390535.2291421,5183,24
-47365.890763096395,3391080.6824819073,5145,25
-44891.519628648515,3391072.1696709367,5197,26
-42218.67974279984,3390995.906317991,5097,27
-39503.060608514934,3391020.250721892,5027,28
-36514.16065447591,3390958.7628208892,4851,29
-66493.7242800314,3374862.487326863,-981,30
-64249.594592059606,3370857.268840258,-1030,31
-58669.98385970027,3354882.8831469407,-971,32
-60415.17971281045,3357422.9839362036,-1001,33
-61873.8576624575,3360590.68823974,-1009,34
-62695.26449635461,3364309.428023938,-908,35
-63078.711658334134,3368647.63774455,-816,36
-65700.45998216105,3372752.1065405607,-982,37
-56472.76036661386,3353012.31662848,-642,38
-66986.76643965801,3377196.31436382,-969,39
-54353.23096896976,3350549.8537681676,-168,40
-52728.51749657362,3347579.7437460558,92,41
-50101.23932167551,3345774.2260001283,-31,42
-67556.21136179077,3380815.4386058054,-805,43
-68065.37036680068,3383643.6123005194,-725,44
-68488.55193159403,3386175.5347918025,-765,45
-37994.50948412123,3395699.164058553,-445,46
-40461.689593230265,3395822.634557219,-351,47
-42976.34193847876,3396007.4044917887,-309,48
-46151.50992363831,3396109.5472156717,-198,49
-48909.13328962028,3396483.0715382295,-239,50
-60834.859837320284,3394354.5073267035,-584,51
-57750.17152864102,3394427.9228119487,-250,52
-55071.633581466165,3394464.7500581187,-198,53
-52991.266565554884,3395641.5429395507,-282,54
-63266.1994595304,3393255.6705462583,-667,55
-65779.00815967273,3391577.9152450687,-677,56
-51133.65185010165,3396421.6028249743,-319,57
-67661.94027874713,3389400.5404737857,-732,58
-36005.55593621638,3395594.4588912325,-445,59
-66974.66539418336,3397335.9585413113,-4953,60
-69559.11997933197,3395704.591895813,-5025,61
-71965.89866057655,3393592.8468843675,-5566,62
-73335.48740312758,3389894.2023254214,-5624,63
-49312.54515639354,3399837.158958684,-5455,64
-46481.705099232255,3399398.5195600423,-5427,65
-43023.17837039753,3399282.34526736,-5185,66
-40177.514485535095,3399139.1330605927,-5445,67
-37735.46176656533,3399075.726827565,-5445,68
-35469.36772475379,3398550.525612838,-5445,69
-51500.739455464296,3399890.1875766064,-5455,70
-53518.9592769089,3399286.9387747077,-5455,71
-56000.98746112548,3398590.1459737336,-5231,72
-58449.91355835623,3398540.166611042,-5034,73
-61143.95106603811,3398680.248939813,-5284,74
-64272.43076680008,3398313.508607357,-5043,75
-32830.550487223314,3399891.695428874,-10445,76
-33073.161532548365,3398078.276309367,-5445,77
-33938.8811973487,3395000.2392779626,-445,78
-42797.02914660669,3401744.546436685,-10192,79
-45334.28940055799,3401931.8339572935,-10455,80
-48379.6380628217,3402145.6326738107,-10455,81
-51102.11979001073,3402697.1767520183,-10455,82
-53809.97239746165,3402541.810869268,-10455,83
-56151.05626288521,3401602.292423757,-10455,84
-59256.86963002511,3401645.5372598413,-10455,85
-62365.90941833623,3401630.9222763395,-10233,86
-65156.44024237455,3400893.4118200135,-10095,87
-68132.18431268213,3400519.8526058,-9914,88
-71034.69300434075,3399612.841237857,-9789,89
-73899.51293007808,3398468.7775369645,-10176,90
-78298.87005955947,3388685.5011560065,-10382,91
-76395.42498706188,3395655.514393992,-10619,92
-77493.31372246635,3392296.199729173,-10409,93
-40256.84505233436,3401616.612109651,-10350,94
-37576.05745513049,3401246.6900889985,-10445,95
-35059.30676002125,3400650.0745431324,-10445,96
-51279.248259339256,3343897.7628627606,-4573,97
-53707.103062074406,3345458.9936064817,-5409,98
-56229.0072750554,3348237.1568963863,-5782,99
-58548.366288540645,3350946.926957068,-5876,100
-60770.45517400454,3353534.6251896773,-5717,101
-62868.19519596022,3356528.96844793,-5722,102
-64604.503455347854,3359564.1784536038,-5865,103
-65811.35745487304,3362925.888009713,-5797,104
-66912.20317028009,3366341.304979566,-5891,105
-67934.70690845547,3369281.5616540806,-5793,106
-69577.26015446545,3372077.7586139175,-5697,107
-71331.49874663413,3375646.2637648326,-5149,108
-72459.46472838182,3378475.1329862094,-5176,109
-73077.46016545244,3381277.2699558525,-5552,110
-73691.84480822273,3384138.26098525,-5010,111
-73907.90949902835,3386801.439964119,-5537,112
-74807.83193522228,3375122.6541048493,-9730,113
-76072.28003204252,3378253.940000735,-9525,114
-76730.96363408444,3381235.4219344864,-10005,115
-77771.27695577662,3384708.85570542,-10064,116
-76899.50261722003,3372328.6433806038,-15411,117
-75579.75836296902,3370252.0170166683,-14882,118
-73953.17958644635,3368087.8158451905,-15357,119
-72662.2836679843,3365440.006675368,-15477,120
-71363.14430054626,3362935.3799843024,-15285,121
-70249.44043389196,3360440.728325145,-15198,122
-68708.12410136801,3357780.7296312014,-15204,123
-67278.97282576446,3355341.889949752,-15096,124
-65717.52879612135,3353039.839216077,-15216,125
-63954.3462186231,3351014.3544631912,-15414,126
-62625.221549847636,3349011.5643108655,-15743,127
-60294.39961228229,3347101.106168112,-15762,128
-57988.217777025995,3344691.08968033,-15358,129
-55783.58300683601,3342716.71580536,-14985,130
-53512.4138806928,3340811.228078821,-14829,131
-77827.8183583013,3374743.061476691,-15170,132
-79051.05765633691,3378606.8381775925,-15144,133
-80346.52360113371,3382259.811803279,-15057,134
-81095.14777907019,3385668.7311560963,-15123,135
-81630.41951623221,3389568.0851318375,-14743,136
-81031.77786248447,3392617.9961874844,-15429,137
-43686.86393622461,3403780.2200982156,-15351,138
-46016.241773709065,3404256.5093766525,-15455,139
-48668.98147689226,3404463.304465619,-15455,140
-51615.95855615521,3404972.431775332,-15455,141
-55140.956705137854,3405082.4065878605,-15455,142
-57969.2794244854,3404297.537151409,-15455,143
-60888.16045273585,3404162.916705668,-15455,144
-63934.606370535446,3403964.1001280514,-15356,145
-67294.09078923927,3403710.970537664,-15188,146
-70530.33987129212,3403452.3005467136,-15194,147
-73411.35456587501,3402888.927001334,-14916,148
-76141.8372258694,3401673.133224225,-14912,149
-78501.717408202,3399291.1620220933,-14931,150
-80352.15605718127,3396021.9181065955,-15561,151
-40427.123998808085,3403329.2652589967,-15315,152
-37668.66013064678,3402761.1608105614,-15445,153
-34971.81475422241,3402196.8770631943,-15445,154
-32717.88797449145,3401440.4054077854,-15445,155
-68356.98392589099,3361673.6946109105,-10816,156
-66883.2867898239,3358533.3984227963,-10451,157
-64405.99597684783,3354988.1716692317,-10527,158
-69421.69142606622,3364793.0086584482,-10666,159
-71007.72340342752,3367704.203831087,-10653,160
-72317.85830514564,3370012.0863422006,-10277,161
-62084.39670250949,3352364.9391946364,-10534,162
-59826.20539652777,3349480.597029822,-10855,163
-57506.70294681226,3346770.5619276073,-10622,164
-54720.31237807834,3344155.4507817244,-10139,165
-52459.96953862173,3342396.3144871145,-10051,166
-73712.20362482102,3372648.769321705,-10601,167
-32661.248064816118,3402583.4457082595,-20445,168
-43839.9048894368,3405650.3479463886,-20352,169
-45678.372242928606,3406030.155502124,-20455,170
-47952.7688653659,3406360.9065286326,-20455,171
-50350.64880068065,3406698.4904818507,-20455,172
-52381.56755688915,3406946.0976361055,-20455,173
-54899.20651674528,3407362.546040953,-20455,174
-57886.26588709325,3407087.5218043914,-20455,175
-60738.8941863029,3407021.2205572976,-20455,176
-63468.15857811051,3406949.182215873,-20379,177
-66089.1158664109,3406585.4687140915,-20207,178
-68328.32526043944,3406417.1249413136,-20097,179
-70502.11577292555,3406317.4161981363,-20325,180
-73123.80302407057,3405955.352849868,-20321,181
-75394.17433859165,3405216.69658898,-20271,182
-77487.21703103208,3404325.5683539556,-20141,183
-79762.09362989383,3402369.4130964177,-20110,184
-82258.08141656837,3399780.4061307907,-20335,185
-41692.5339618317,3405255.2892474188,-20114,186
-39247.01285041042,3404630.837609137,-20372,187
-37233.69673640502,3404028.5954858824,-20445,188
-34914.919800893054,3403339.9396591717,-20445,189
-78799.8072002195,3370494.5540135205,-19610,190
-77312.98854192473,3368050.476760842,-20721,191
-75697.58669514753,3365671.622330646,-20255,192
-74259.97851940326,3363445.8504319587,-20279,193
-72910.01621307677,3360723.370325831,-20293,194
-71303.52209498803,3358131.1095949155,-19746,195
-69886.1129524298,3355477.4498698474,-19707,196
-68204.69793261343,3353097.0335196275,-19675,197
-66215.67501988693,3350629.4779039295,-20161,198
-64576.289274887284,3348610.360949084,-20411,199
-63005.715648546575,3346451.857699151,-20225,200
-60860.68059514579,3344550.9182807426,-20004,201
-59138.97171162581,3342887.008802622,-20798,202
-56725.89693401462,3341331.705430983,-19747,203
-54677.89654902905,3339938.7432105276,-19768,204
-79891.07083879098,3373347.905831542,-19992,205
-81368.70742854883,3375935.489477783,-20186,206
-82392.65127443534,3378857.447374359,-20076,207
-83632.80438786559,3382364.716260667,-20418,208
-84140.4950933084,3385617.7026385,-19973,209
-84179.49610571236,3388343.6849967395,-19935,210
-83943.69836482604,3391556.5940795033,-19847,211
-83541.5382481498,3394402.0927499323,-20506,212
-82961.58434582724,3397094.597469759,-20354,213
